image_id,method,dataset,iou,dice,precision,recall,f1
crackforest_0000,ablation_no_detection,crackforest,0.42025316455696204,0.5918003565062389,0.4293566117038474,0.9519713261648746,0.5918003565062389
crackforest_0001,ablation_no_detection,crackforest,0.4332088480321747,0.604529965925035,0.4413227977758267,0.9592875318066157,0.6045299659250349
crackforest_0002,ablation_no_detection,crackforest,0.6193458594293667,0.7649333906317146,0.6679174484052532,0.8949220713926597,0.7649333906317146
crackforest_0003,ablation_no_detection,crackforest,0.4184219921456623,0.5899823810722375,0.4406015037593985,0.8926123381568926,0.5899823810722375
crackforest_0004,ablation_no_detection,crackforest,0.412959543394326,0.5845313056908638,0.7197191339964891,0.4920984196839368,0.5845313056908638
crackforest_0005,ablation_no_detection,crackforest,0.420541987286718,0.5920866698068771,0.4441696113074205,0.8877118644067796,0.5920866698068771
crackforest_0006,ablation_no_detection,crackforest,0.4576432514753474,0.6279221627269166,0.7271627344222625,0.5525166628361297,0.6279221627269166
crackforest_0007,ablation_no_detection,crackforest,0.4872098531501658,0.655199872591177,0.5342857142857143,0.8468505557842734,0.6551998725911768
crackforest_0008,ablation_no_detection,crackforest,0.6221579164944192,0.7670744138634047,0.6949896097898869,0.8558430480523174,0.7670744138634048
crackforest_0009,ablation_no_detection,crackforest,0.4200863930885529,0.5916349809885931,0.4339903309780588,0.929140127388535,0.5916349809885932
crackforest_0010,ablation_no_detection,crackforest,0.5545161290322581,0.7134260219962648,0.5753012048192772,0.9388312397596942,0.7134260219962648
crackforest_0011,ablation_no_detection,crackforest,0.508736559139785,0.6743875278396436,0.5213498622589532,0.9546027742749055,0.6743875278396437
crackforest_0012,ablation_no_detection,crackforest,0.35970961887477315,0.5290977042178323,0.46833648393194705,0.6079754601226994,0.5290977042178324
crackforest_0013,ablation_no_detection,crackforest,0.3756168359941945,0.5461067735809243,0.4045014066895905,0.8402597402597403,0.5461067735809243
crackforest_0014,ablation_no_detection,crackforest,0.551231135822081,0.7107014848950333,0.5713501646542262,0.9399548532731377,0.7107014848950334
crackforest_0015,ablation_no_detection,crackforest,0.45003843197540355,0.6207262125629472,0.4684,0.9198743126472899,0.6207262125629472
crackforest_0016,ablation_no_detection,crackforest,0.2886002886002886,0.4479283314669653,0.6458557588805167,0.34285714285714286,0.4479283314669653
crackforest_0017,ablation_no_detection,crackforest,0.3127059685097034,0.47642956764295674,0.3140860610518573,0.9861431870669746,0.4764295676429568
crackforest_0018,ablation_no_detection,crackforest,0.6545161290322581,0.7911873659582764,0.6815586160564326,0.9428438661710037,0.7911873659582765
crackforest_0019,ablation_no_detection,crackforest,0.49038737446197994,0.6580670003850597,0.5072721875927575,0.9364383561643835,0.6580670003850597
crackforest_0020,ablation_no_detection,crackforest,0.37128011336797356,0.5415087840165346,0.4106583072100313,0.7947421638018201,0.5415087840165346
crackforest_0021,ablation_no_detection,crackforest,0.12940730443573867,0.2291596732684346,0.5676274944567627,0.14355811019206505,0.22915967326843456
crackforest_0022,ablation_no_detection,crackforest,0.3178861788617886,0.4824182603331277,0.3531005418422637,0.7611940298507462,0.4824182603331277
crackforest_0023,ablation_no_detection,crackforest,0.3914943198368774,0.5626962528783755,0.3971631205673759,0.964824120603015,0.5626962528783755
