image_id,method,dataset,iou,dice,precision,recall,f1
deepcrack_0000,ablation_no_boundary,deepcrack,0.5910299003322259,0.7429525997076634,0.6138716356107661,0.940772078265468,0.7429525997076634
deepcrack_0001,ablation_no_boundary,deepcrack,0.693789584799437,0.8192157881069851,0.7870472008781558,0.8541260558804419,0.8192157881069853
deepcrack_0002,ablation_no_boundary,deepcrack,0.6819477241266998,0.8109024012393493,0.7500447787927638,0.8825079030558483,0.8109024012393493
deepcrack_0003,ablation_no_boundary,deepcrack,0.528051360618662,0.6911434709954644,0.5990730011587485,0.8166535033284441,0.6911434709954642
deepcrack_0004,ablation_no_boundary,deepcrack,0.4077368917643887,0.5792799693603983,0.7834757834757835,0.45951693756645906,0.5792799693603984
deepcrack_0005,ablation_no_boundary,deepcrack,0.6054179290679024,0.7542184724689165,0.7794860027535567,0.7305376344086022,0.7542184724689166
deepcrack_0006,ablation_no_boundary,deepcrack,0.38666666666666666,0.5576923076923077,0.6990358126721763,0.4638939670932358,0.5576923076923077
deepcrack_0007,ablation_no_boundary,deepcrack,0.7208445040214477,0.83777994157741,0.858339984038308,0.8181818181818182,0.83777994157741
deepcrack_0008,ablation_no_boundary,deepcrack,0.743046357615894,0.8525835866261399,0.9048387096774193,0.8060344827586207,0.8525835866261399
deepcrack_0009,ablation_no_boundary,deepcrack,0.657167530224525,0.7931214174048984,0.7861570247933884,0.8002103049421662,0.7931214174048985
deepcrack_0010,ablation_no_boundary,deepcrack,0.39094650205761317,0.5621301775147929,0.641169853768279,0.5004389815627743,0.5621301775147929
deepcrack_0011,ablation_no_boundary,deepcrack,0.7297415681121332,0.8437579133957964,0.8003843382176316,0.8921017402945114,0.8437579133957964
deepcrack_0012,ablation_no_boundary,deepcrack,0.47656682452795374,0.6455066125169218,0.9808848661307678,0.481034268686367,0.6455066125169218
deepcrack_0013,ablation_no_boundary,deepcrack,0.4483398786147804,0.6191086570696115,0.9517962710322874,0.4587564842551326,0.6191086570696115
deepcrack_0014,ablation_no_boundary,deepcrack,0.43986978169283797,0.6109855033914084,0.9106045589692765,0.45972180526368456,0.6109855033914083
deepcrack_0015,ablation_no_boundary,deepcrack,0.2586172243995578,0.4109545291229191,0.9665727699530516,0.2609511255323464,0.4109545291229191
deepcrack_0016,ablation_no_boundary,deepcrack,0.3408891540054037,0.5084523996441095,0.5683280683280684,0.4599905303030303,0.5084523996441095
deepcrack_0017,ablation_no_boundary,deepcrack,0.23982229711615793,0.3868655978747722,0.9045211613462372,0.24605108055009822,0.3868655978747722
deepcrack_0018,ablation_no_boundary,deepcrack,0.48023846323691766,0.6488663484486874,0.8446601941747572,0.5267619278275611,0.6488663484486873
deepcrack_0019,ablation_no_boundary,deepcrack,0.4140683774972833,0.5856412378447078,0.9800178059155208,0.41759399763952115,0.5856412378447078
deepcrack_0020,ablation_no_boundary,deepcrack,0.6095137655417406,0.7573886953822809,0.9510653040013858,0.6292476075869577,0.7573886953822808
deepcrack_0021,ablation_no_boundary,deepcrack,0.7129646754207509,0.8324335996545023,0.9336401065633325,0.7510227936879018,0.8324335996545024
deepcrack_0022,ablation_no_boundary,deepcrack,0.5228847914214725,0.6867030183332617,0.9710989678202793,0.5311503719447397,0.6867030183332617
deepcrack_0023,ablation_no_boundary,deepcrack,0.6434293401822295,0.7830325581395349,0.9382914214374889,0.6718600344805568,0.7830325581395349
deepcrack_0024,ablation_no_boundary,deepcrack,0.48204649923389514,0.6505146761361082,0.9291217257318952,0.5004495469949513,0.6505146761361082
deepcrack_0025,ablation_no_boundary,deepcrack,0.6899555859241544,0.8165369453148691,0.8224394217063734,0.8107185869128863,0.8165369453148691
deepcrack_0026,ablation_no_boundary,deepcrack,0.7537511032656664,0.8595873175641671,0.8743281289992322,0.8453353130413264,0.8595873175641671
deepcrack_0027,ablation_no_boundary,deepcrack,0.4814935594325779,0.6500110059432094,0.5201691033996829,0.866236432971546,0.6500110059432094
deepcrack_0028,ablation_no_boundary,deepcrack,0.562489126022154,0.7199910919753545,0.688604898828541,0.7543750486116513,0.7199910919753546
deepcrack_0029,ablation_no_boundary,deepcrack,0.5355477120887432,0.6975331445224315,0.9998823252530007,0.535581468641664,0.6975331445224315
deepcrack_0030,ablation_no_boundary,deepcrack,0.6076852041863329,0.7559753645849954,0.9999155833192639,0.6077163819198604,0.7559753645849955
deepcrack_0031,ablation_no_boundary,deepcrack,0.8825828061034611,0.9376297321340318,0.9989469250210615,0.8834047308623579,0.9376297321340319
deepcrack_0032,ablation_no_boundary,deepcrack,0.6141885325558795,0.7609873570138471,0.6368399838774688,0.9452587496260844,0.760987357013847
deepcrack_0033,ablation_no_boundary,deepcrack,0.7652439024390244,0.8670120898100173,0.7897002815035602,0.9611043933897622,0.8670120898100173
deepcrack_0034,ablation_no_boundary,deepcrack,0.6857596306449286,0.8135912358781239,0.7003094150581995,0.9705942413722687,0.813591235878124
deepcrack_0035,ablation_no_boundary,deepcrack,0.6067166723491306,0.7552254641909815,0.7019723865877712,0.8172215843857635,0.7552254641909814
deepcrack_0036,ablation_no_boundary,deepcrack,0.5666158794650414,0.7233628701102226,1.0,0.5666158794650414,0.7233628701102226
deepcrack_0037,ablation_no_boundary,deepcrack,0.27018968796586645,0.42543202881541137,0.9749582637729549,0.2720778548503986,0.4254320288154114
