image_id,method,dataset,iou,dice,precision,recall,f1
deepcrack_0000,ablation_no_stability,deepcrack,0.5910299003322259,0.7429525997076634,0.6138716356107661,0.940772078265468,0.7429525997076634
deepcrack_0001,ablation_no_stability,deepcrack,0.7090495449949444,0.8297589114036386,0.7616073852837361,0.9113060428849903,0.8297589114036386
deepcrack_0002,ablation_no_stability,deepcrack,0.6819477241266998,0.8109024012393493,0.7500447787927638,0.8825079030558483,0.8109024012393493
deepcrack_0003,ablation_no_stability,deepcrack,0.53667725493093,0.6984905297567542,0.6085099254543932,0.8196998758885253,0.6984905297567542
deepcrack_0004,ablation_no_stability,deepcrack,0.6480469270763898,0.7864423232486653,0.8411489877141374,0.7384171350448124,0.7864423232486653
deepcrack_0005,ablation_no_stability,deepcrack,0.6054179290679024,0.7542184724689165,0.7794860027535567,0.7305376344086022,0.7542184724689166
deepcrack_0006,ablation_no_stability,deepcrack,0.38666666666666666,0.5576923076923077,0.6990358126721763,0.4638939670932358,0.5576923076923077
deepcrack_0007,ablation_no_stability,deepcrack,0.7208445040214477,0.83777994157741,0.858339984038308,0.8181818181818182,0.83777994157741
deepcrack_0008,ablation_no_stability,deepcrack,0.743046357615894,0.8525835866261399,0.9048387096774193,0.8060344827586207,0.8525835866261399
deepcrack_0009,ablation_no_stability,deepcrack,0.657167530224525,0.7931214174048984,0.7861570247933884,0.8002103049421662,0.7931214174048985
deepcrack_0010,ablation_no_stability,deepcrack,0.39094650205761317,0.5621301775147929,0.641169853768279,0.5004389815627743,0.5621301775147929
deepcrack_0011,ablation_no_stability,deepcrack,0.7297415681121332,0.8437579133957964,0.8003843382176316,0.8921017402945114,0.8437579133957964
deepcrack_0012,ablation_no_stability,deepcrack,0.47656682452795374,0.6455066125169218,0.9808848661307678,0.481034268686367,0.6455066125169218
deepcrack_0013,ablation_no_stability,deepcrack,0.4483398786147804,0.6191086570696115,0.9517962710322874,0.4587564842551326,0.6191086570696115
deepcrack_0014,ablation_no_stability,deepcrack,0.43986978169283797,0.6109855033914084,0.9106045589692765,0.45972180526368456,0.6109855033914083
deepcrack_0015,ablation_no_stability,deepcrack,0.2586172243995578,0.4109545291229191,0.9665727699530516,0.2609511255323464,0.4109545291229191
deepcrack_0016,ablation_no_stability,deepcrack,0.31510811668841937,0.479212488600397,0.5527162479891102,0.42296401515151516,0.47921248860039695
deepcrack_0017,ablation_no_stability,deepcrack,0.1869833912707609,0.31505645764862844,0.9166824465063435,0.19021611001964636,0.3150564576486284
deepcrack_0018,ablation_no_stability,deepcrack,0.48023846323691766,0.6488663484486874,0.8446601941747572,0.5267619278275611,0.6488663484486873
deepcrack_0019,ablation_no_stability,deepcrack,0.4140683774972833,0.5856412378447078,0.9800178059155208,0.41759399763952115,0.5856412378447078
deepcrack_0020,ablation_no_stability,deepcrack,0.6095137655417406,0.7573886953822809,0.9510653040013858,0.6292476075869577,0.7573886953822808
deepcrack_0021,ablation_no_stability,deepcrack,0.7129646754207509,0.8324335996545023,0.9336401065633325,0.7510227936879018,0.8324335996545024
deepcrack_0022,ablation_no_stability,deepcrack,0.5253962594405368,0.6888652783680408,0.9563960349303753,0.5382903825717322,0.6888652783680408
deepcrack_0023,ablation_no_stability,deepcrack,0.6434293401822295,0.7830325581395349,0.9382914214374889,0.6718600344805568,0.7830325581395349
deepcrack_0024,ablation_no_stability,deepcrack,0.48204649923389514,0.6505146761361082,0.9291217257318952,0.5004495469949513,0.6505146761361082
deepcrack_0025,ablation_no_stability,deepcrack,0.6899555859241544,0.8165369453148691,0.8224394217063734,0.8107185869128863,0.8165369453148691
deepcrack_0026,ablation_no_stability,deepcrack,0.7537511032656664,0.8595873175641671,0.8743281289992322,0.8453353130413264,0.8595873175641671
